Zip Code,Total population,White percent,Asian percent,Black or African American percent,American Indian and Alaska Native percent,Hispanic or Latino percent,Native Hawaiian and Other Pacific Islander percent,Female percent,Male percent,MONTHLY HOUSING COSTS - Median,Median income(all),Median income (full time),Median age,Percent - Under 5 years,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - Under 18 years,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent high school graduate or higher,Percent bachelor's degree or higher,Owner-occupied housing percentage,Renter-occupied housing percentage,Unemployment rate - Population 16 years and over
85123,11106,84.7,0.3,2.1,5.3,40.6,0,51,49,824,26745,35716,35.4,7.6,5.2,5.8,7.1,38.3,77.3,26.9,9.7,73.1,8.4,70.5,5.7,7.1,4.4,5.6,5.2,13.6,8.3,6.1,5.3,5.2,23.8,22.1,8,18.6,5,3.8,5.6,1.3,0.5,83.1,13.3,0.63,0.37,10.2
85128,16466,71.6,0.3,4,15.4,39.4,0.2,51,49,692,27695,35610,34.5,6.7,9.5,4.3,7.1,37.8,74.7,28.2,8.4,71.8,5.7,66.9,7.8,6.4,5.5,5.4,5.2,17.1,7.6,7.5,7.8,6,18,15.5,5.9,11.9,1.7,2,4.3,1,1.4,79.8,12.2,0.58,0.42,10.1
85131,18542,72.9,2.1,9.2,2.7,58.1,2.8,27.7,72.3,657,20941,32422,35.3,3.9,4.2,2,3.5,55.1,86.6,14.5,10.7,85.5,9.2,82.7,12.6,11.6,10.7,7.5,6.3,8.6,4.4,5.4,5.3,4.6,15.4,13.7,3.9,10.8,3.6,1.5,3.3,1.1,0.8,66.8,7.9,0.63,0.37,11
85132,35677,83.3,0.8,6.4,4.5,35.8,0.5,30,70,834,23539,39675,37.7,3.5,4.6,2,3.9,49.6,87.6,14,8.7,86,6.9,83.3,11.1,10,9.9,7.9,5.9,8.5,3.8,7,5.4,5.1,20,17.7,6.2,15,3.9,2.5,4.9,1.5,0.9,75.7,12.2,0.74,0.26,10.1
85135,464,93.5,0,0,0,87.9,0,51.3,48.7,337,21985,34375,54.1,2.2,3.4,6.7,9.3,24.4,86,15.7,4.3,84.3,1.7,80.6,2.4,3.9,5,2.2,8.2,6.9,3.4,10.6,7.8,16.8,40.1,36.4,5.2,23.3,5.8,7.3,12.3,0.6,4.3,76,0,0.61,0.39,19.3
85137,2497,89.4,3.5,0.5,0,44.7,0,44.4,55.6,759,34904,50147,39,5.8,7.3,3.7,5.4,33.8,74.8,27.6,7,72.4,5.2,68.9,5.1,6.2,6,5.8,3.8,18.1,10.8,6.6,4.8,6,27.1,25.3,7,21,6.9,3.3,7.1,1.5,2.3,87.9,16,0.73,0.27,8.7
85138,36059,71.5,4.4,10.5,2,25.3,0.1,50.5,49.5,1241,36633,48826,35,7.2,8.5,4.5,6.6,42.7,74.9,28.4,7.9,71.6,5.8,67.9,5.7,7.9,8.3,8.3,6.1,16.7,8.2,4.9,5.4,4.9,17,14.7,5.6,12.1,3,1.5,3.5,0.8,1.2,92.7,24.4,0.75,0.25,5
85139,18327,72.5,3.4,6.7,6.7,30.1,0.3,51.9,48.1,1075,29573,40320,35.7,6.4,7.6,4.2,7.2,41.5,75.8,27.3,9.6,72.7,6.7,67.7,5,6.7,7.3,8.6,6.6,16.7,9.1,6,5.8,5.7,17,14.6,4.1,11.3,3.5,2,3.7,1.5,0.2,84.2,14.6,0.71,0.29,10.1
85140,45504,87.5,1.2,4.2,2.5,21.6,0.2,48.8,51.2,1164,31796,45341,30.8,8.9,8.2,4.5,8.2,44.5,71.3,31.6,9.7,68.4,6,63,7.6,7.8,7.5,7.4,5.9,18.2,10,4.4,4.4,4,13.7,11.8,4.1,9.7,2.7,1.5,2.9,0.7,0.7,91.2,22.3,0.77,0.23,6.5
85141,427,75.9,1.4,0,0.7,68.4,0,37.5,62.5,567,17083,27614,50.6,1.2,4.9,3,8.9,33.5,91.3,11.7,19.7,88.3,13.8,78,2.3,2.6,4.4,1.4,5.4,7.5,2.6,17.8,7,7.7,27.6,25.5,5.6,19.9,11.2,1.4,3,0.5,1.2,76.1,6.5,0.73,0.27,7.3
85142,60306,87.7,2.3,2.8,0.9,18.8,0.1,50.1,49.9,1482,41364,55655,33.6,8.3,10.7,5.5,7.9,40.6,69.6,34,6.7,66,4.3,62.7,4.7,6.5,9,8.3,7.3,20.3,9.5,6.1,4.3,4.4,13.1,11.3,3.9,8.7,2.4,1.3,2.4,0.6,0.5,94,31.8,0.83,0.17,3.5
85143,36764,81.2,2.7,6.9,0.3,22.4,1,52.2,47.8,1159,32962,43322,34.9,6.6,9.2,5.5,8,41.2,72.9,30.4,7.4,69.6,4.8,66.1,5.3,7,8.9,7.1,5.8,18.3,9.1,4.9,3.8,5.9,19.3,17,5.7,13.4,3.9,2.1,3.8,0.9,0.8,91.2,18.9,0.7,0.3,6.9
85145,3016,83,0.9,3.4,1,23.2,0,51.9,48.1,1088,35064,42468,25.8,11.4,10.6,6.3,9.3,53.2,63.4,40.8,6.6,59.2,3.7,55,9.7,10.2,15,5.4,3.2,23.1,12.5,2,2,1.8,5.1,4.4,1.2,3.3,0.8,0,1.3,0.8,0.5,90.2,26.8,0.8,0.2,7.9
85147,3811,7.2,0.2,0.3,83.8,6.3,0,44.2,55.8,261,27260,32389,31.7,2.6,8,2.6,11.5,47,82.1,19.9,15.1,80.1,6.2,70.2,12,7.1,5.3,4.8,9.2,14.7,6.7,5.5,5.3,5.7,15.7,12,3.1,10,2.7,2.8,4.3,0.8,0.8,66,3.9,0.35,0.65,20.9
85172,1636,67.7,0,0,13.3,66.1,0,37.8,62.2,843,30114,33728,32.7,12.2,5.6,4,5,56.4,73.2,29.7,6.7,70.3,5.7,65.8,6.3,13.9,6.9,18.6,2.8,13.4,7.9,6.9,2,0,6.2,6.2,4.6,6.2,0,0,1.6,0,1.6,69.9,18.5,0.5,0.5,2.6
