Zip Code,Total population,Asian percent,MONTHLY HOUSING COSTS - Median,Median age,Percent - 15 to 44 years,Percent - 30 to 34 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Owner-occupied housing percentage,Renter-occupied housing percentage
85334,844,1.1,473,47.1,35.4,4.6,6,25,23.7,8.5,19,5.1,1.4,5.3,2.4,0.65,0.35
85335,34400,1.6,1049,29.9,45.8,8.7,3.5,11.9,10.6,3.3,8.4,2.4,1.2,2.7,0.9,0.6,0.4
85336,502,0,592,37.2,43,4,4.6,22.1,22.1,5.4,17.5,8,4.2,4.2,0,0.61,0.39
85337,2611,0.7,566,31.7,44.9,5.5,3.2,12.8,11.3,4.3,9.6,2.9,1.8,2.4,0.2,0.47,0.53
85338,47588,3.2,1314,33.9,41.5,6.9,6.2,15.9,13.2,3.9,9.7,2.9,1.5,2.9,0.9,0.71,0.29
85339,45040,6.2,1332,30.2,44.7,8.7,3.8,10,8.2,2.8,6.2,1.5,1,1.9,0.5,0.69,0.31
85340,32436,4.7,1407,37.2,39.5,5.9,5.1,16.5,14.8,4.4,11.4,2.6,1.2,4.3,2,0.75,0.25
85342,1284,1.8,632,61,13.1,2.5,14.7,53.1,46,14.4,38.4,13.2,5.1,10.8,2.6,0.82,0.18
85344,10537,0.5,507,40.5,34.5,5.8,6.1,23.8,21.7,4.1,17.7,4.8,4.9,8.8,2.3,0.67,0.33
85345,56473,3,988,34.9,39.3,7.4,5.7,18.9,16.2,4.7,13.1,3.5,2.4,5,1.2,0.63,0.37
85347,938,0,446,32.3,41.8,7.9,2.8,16.4,14.6,3.7,13.6,1,2.7,9,6.3,0.49,0.51
85349,29972,0,745,27.3,44,6.2,4.5,10.6,8.5,2.4,6.1,1.4,0.6,2.3,1,0.71,0.29
85350,22691,0.6,795,28.6,49.1,8.5,4.6,11.7,9.6,1.6,7.1,1.8,1.9,3.6,0.9,0.71,0.29
85351,28855,0.9,521,72.9,3.2,0.4,10.3,86.4,82.5,15.9,76.1,17.4,15.8,42.8,13.2,0.85,0.15
85353,39400,1.1,1147,27.8,49.2,9.4,3.2,8.5,7,2.3,5.3,1.1,0.8,1.9,0.4,0.62,0.38
85354,7008,0.1,813,35.4,40.1,6.8,4.3,17.1,16.1,5.7,12.8,3.1,2.1,4.1,1.5,0.74,0.26
85355,11369,2.1,1598,35.7,39.7,6.6,3.9,14.7,13.2,5.9,10.8,2.2,1.6,2.8,0.5,0.85,0.15
85356,4997,0.9,522,53.4,28.7,3.8,7.1,40.8,40.3,8.4,33.6,9.9,8.9,15.3,5,0.82,0.18
85361,5777,1.8,1005,42.4,37.1,4.1,6.3,22.3,20.4,8.1,16,4.6,2.1,3.3,0.6,0.86,0.14
85362,669,0,561,64.3,2.1,0,20.2,65.9,60.1,14.2,45.7,17.9,6.7,13.6,4.3,0.81,0.19
85363,6625,0.7,933,35.3,39.1,6.4,3.9,22.5,21.3,4,18.6,4.8,3,9.8,2.9,0.48,0.52
85364,74299,1.6,824,31.6,42.8,7.1,4.4,18.2,16.2,4,13.8,3.1,3.1,6.7,2.3,0.55,0.45
85365,48973,2,899,35.6,39.5,5.6,4.6,25,23.1,6.1,20.4,5.3,5,9.1,2.3,0.73,0.27
85367,21018,1.6,557,64.2,21.1,4.3,7,55.7,52.8,9.8,48.7,13.1,13.2,25.9,7.7,0.83,0.17
85373,18714,2.2,759,66,17.8,4.1,6.8,58,55.5,10.7,51.2,12.8,10.3,27.7,8,0.85,0.15
85374,46395,1.2,946,54.7,27.1,5,7,44.3,41.5,9.1,37.3,10.4,8.3,17.8,5.5,0.72,0.28
85375,28133,1.3,543,73.8,3.5,0.8,9.7,88.5,85.3,15.4,78.8,16.9,16.1,46.4,14.7,0.89,0.11
85379,46320,2.9,1343,34.6,42.5,6.7,3.8,12.8,11.3,3.6,9,3,1.4,2.4,0.6,0.7,0.3
85381,24968,3.7,1208,42,37.8,5.4,6.8,24.8,22.2,5.5,18,3.9,3.2,8.7,1.9,0.66,0.34
85382,40626,4.7,1237,42,35.9,6.3,6.1,26.7,23.9,4.6,20.6,4.9,4.3,11.1,3,0.68,0.32
85383,46118,4.7,1754,38.3,36.8,5.7,5.8,16.8,14.5,4.8,11,3,1.7,3.2,0.8,0.89,0.11
85387,10829,1.2,854,64.7,19.5,3.9,8.4,57.9,54.8,17.4,49.5,17.1,8.1,14.9,4.5,0.87,0.13
85388,28442,3,1347,34.6,41.6,6.6,3.9,14.3,12.7,4.6,10.3,2.7,1.7,3,1,0.76,0.24
85390,8924,0.1,686,56.8,22.6,5.5,9.2,46.4,42,9.8,37.2,10.4,7.1,17,6.3,0.77,0.23
85392,37710,5,1180,33.2,46.1,7.7,4.6,12.9,11,3.5,8.3,2.5,0.9,2.3,0.8,0.57,0.43
85395,28364,7.2,1352,43.6,36.1,6.9,6.3,29.5,27.7,7.8,23.2,7.8,4.2,7.5,2.2,0.78,0.22
85396,17759,2.4,1360,40.1,31.2,4.6,7.4,24.2,21.2,8.3,16.8,4.6,2.3,4,0.8,0.83,0.17
85501,12657,0.9,669,43.7,35.5,5.1,7.4,30.7,27.5,7.7,23.3,5.8,4.6,9.7,3,0.69,0.31
85530,1942,0,229,25.8,41.9,6.1,3.5,12.1,11,3.2,8.7,1.8,3.3,3.7,0,0.72,0.28
85533,3141,0.2,362,32.4,37.2,7.3,5,21.3,19,3.9,16.3,2.5,3.2,10,5.5,0.64,0.36
85534,2761,0,462,42.5,36.9,2.9,8.1,24.8,21,3.6,16.7,4.5,4.9,8.6,2,0.82,0.18
85536,577,0,806,31.5,35.7,5.4,7.5,14.6,11.8,1.9,7.1,1.7,1.6,3.5,1.9,0.91,0.09
85539,5109,2.3,506,43,28,6.3,5.9,27.3,25.4,6.7,21.5,5.9,3.7,8.9,3.2,0.73,0.27
85540,3415,0.8,409,30.6,50.2,10.9,4,6.9,4.9,1.4,2.8,1,0.5,0.5,0,0,1
85541,21546,0.5,773,56.1,22.6,3.9,9.9,43.5,38.9,9.9,33.6,8.8,6.3,14.8,5.1,0.74,0.26
85542,3440,0,299,23.7,45,5.3,4.1,10.6,9.1,2.4,6.6,1.3,1.5,2.9,0.7,0.53,0.47
85543,3644,0.1,836,34.2,34.4,8,8.2,23.1,20.5,4.5,14.9,3.9,2.1,6.5,2.6,0.79,0.21
85544,2305,0,786,64.8,13.7,1.1,15.6,65.1,55.8,17.3,49.5,16.1,8.9,16.1,4.3,0.91,0.09
85546,20594,1,783,35.4,42.8,7.4,5.6,19.3,17.1,3.7,13.7,3.8,2.7,6.2,1.9,0.68,0.32
85550,5227,2.6,279,25.3,40.1,7,2,8.8,7.8,2.4,6.7,2.2,0.8,2.1,1.2,0.54,0.46
85551,424,0,432,40.4,40.6,12,7.1,25.9,22.6,2.6,18.9,4,2.6,12.3,3.1,0.96,0.04
85552,6556,0.9,805,29,45.7,6.1,4.6,18.5,16.4,5.9,13.9,3.3,1.9,4.7,1.3,0.63,0.37
85553,1683,0,437,64.4,11.8,1.7,14.5,59,56.6,21.6,44.5,14.2,1.9,8.7,3.7,0.85,0.15
85554,493,0,508,61.8,15.4,0,5.3,50.9,49.7,13.8,45.6,6.1,5.7,25.8,7.1,0.81,0.19
85602,9016,0.2,600,52.7,28.1,4.6,8.7,43,38,8.9,34.3,8.9,7.6,16.5,3.4,0.71,0.29
85603,6775,0.4,637,53.6,24.8,4.6,10.2,38.4,32.6,10.5,28.2,6.6,4.7,11.1,3.1,0.7,0.3
85605,468,0,259,58.9,30.8,4.9,9.4,46.2,42.9,5.8,36.8,10.9,8.3,20.1,7.3,0.63,0.37
85606,1183,0,525,58.3,14.2,4.2,13.5,47.9,41.2,12.5,34.4,13.9,3.4,7.9,2.6,0.89,0.11
85607,14428,1.1,539,31,41.2,7.1,6.3,19.6,17.9,4,13.3,4,1.9,5.3,1.6,0.68,0.32
85610,874,0.5,399,60.2,20.3,0,12.5,50.7,45,9.6,38.2,7.4,11.7,21.2,5.3,0.83,0.17
85613,5509,5,1239,22.6,71.8,7.2,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0.01,0.99
85614,23229,0.6,644,69.7,10.6,2.8,8.3,73.5,71,16.2,65.2,16,14.6,33,9.8,0.79,0.21
85615,9929,0.2,938,48.9,29.2,5.2,11.7,33.5,30.6,12.6,21.8,2.2,4,7,1.8,0.86,0.14
85616,5374,2,741,44.9,31.6,4.4,10.6,29,24.5,8.4,18.4,4.3,2.9,5.7,2.3,0.68,0.32
85617,1293,0.5,442,55.6,18.9,3.6,10.1,41.7,36,11.4,31.6,10.7,3.6,9.5,1.5,0.76,0.24
85618,1781,0,393,43.7,28.1,5.6,4.7,24.9,21.6,4.3,20.3,3.2,4.8,12.8,4.1,0.74,0.26
85620,670,0.7,520,42,29.7,2.7,10,29.6,25.1,10.9,19.6,5.8,2.4,2.8,0.4,0.68,0.32
85621,22290,1.2,614,34.1,36.8,4.8,5.4,21.7,19,5,16.2,4.5,2.9,6.7,2.1,0.53,0.47
85622,6330,0.6,511,71.8,1.2,0.3,12.3,90.8,87.7,21.6,78.5,20,18.8,36.9,11.3,0.9,0.1
85623,4980,0,542,59.3,26.6,6.2,10.8,48.4,44.7,10.8,37.6,10.5,7.5,16.3,4.5,0.81,0.19
