Zip Code,Total population,Unemployment rate - Population 16 years and over,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76426,12453,6.3,144000,198250,217500
76427,1021,7.5,18950,36000,38000
76430,2428,7.5,15000,5000,43150
76431,2931,14.1,13000,18100,26000
76437,5401,0.8,117850,141600,181400
76442,7496,2.2,52000,95000,115000
76443,2316,3.7,44000,24450,28250
76444,3472,3.5,40000,42000,23000
76446,8105,5.5,63900,128700,150000
76448,5224,6.6,101000,176000,170950
76449,2427,1.8,49000,53000,45300
76450,12885,5.4,149550,214000,215800
76453,1357,0,20000,27350,13000
76454,1560,0,14000,8000,5000
76457,4102,5.2,46000,83000,50350
76458,5913,2.4,66000,100500,88600
76470,3820,10.2,20100,28000,39200
76471,2275,9.2,10000,5000,10000
76472,1507,1.5,41250,72350,73000
76475,909,19.4,3000,3000,3000
76476,2718,1.1,31000,40000,48000
76483,972,5.6,23000,25500,16000
76486,1040,1.4,10000,18550,22650
76487,2704,9.6,27600,23600,16000
76501,17571,9.9,177200,256150,225750
76502,38571,4.9,432000,784750,776650
76504,23368,7.4,298800,436050,528100
76511,2869,7.6,18000,33000,32800
76513,38124,7.9,513200,792650,837700
76520,8124,5.1,76000,156900,140700
76522,36581,11.4,355100,594650,679350
76527,3886,5.9,48000,88000,106550
76528,16708,5.5,221450,512750,383350
76530,2190,5.2,62000,116150,185000
76531,4632,0.6,69000,76450,63400
76534,2927,2.6,17000,33600,26000
76537,4921,3.6,310000,311100,157850
76539,8530,7.6,14000,42000,40000
76541,18447,11.7,183250,340600,320800
76542,50324,7.9,510050,866450,936100
76543,29256,12.3,200150,303350,292950
76548,29595,9,281050,447200,538900
76549,48970,9.7,353950,568600,556700
76550,12517,6.5,172350,184700,281250
76554,2285,6.1,28850,49000,50500
76556,1281,4.6,5000,11000,8650
76557,4783,1.2,11000,12000,22000
76559,5534,6.1,30000,66000,119950
76567,9098,6.8,68000,82150,89800
76569,2250,1.6,27000,32000,54200
76570,2909,3.9,16700,14200,16250
76571,7200,3.1,62000,62000,56000
76574,18939,5.4,292700,490950,633950
76577,3311,6.4,41000,47000,64000
76578,1422,10.2,22000,23000,32000
76579,4672,2.9,15000,40000,63000
76621,907,2.3,16000,13000,13000
76627,1612,5.8,22000,25300,15000
76629,1686,9.5,51000,51000,21350
76633,5346,6.4,26000,37750,64000
76634,7068,6.5,149500,281850,275000
76635,1219,5.3,17950,38850,60250
76636,1330,2,8000,4000,12000
76637,629,4.9,5000,5600,11000
76638,3081,0.7,7000,4000,16000
76639,1341,9.1,13000,13000,14850
76640,2816,9.8,6000,13000,17000
76642,7025,10.8,65300,94450,81150
76643,14253,3.3,119650,265900,279700
76645,10477,7.6,212500,323450,328700
76648,2762,6.7,43000,57500,37000
76649,701,11,1000,15000,13000
76651,3232,7.1,87000,121450,124000
76653,902,6.3,53000,37000,34000
76655,8530,1.9,44000,82000,54000
76656,2440,4.1,24000,38350,26550
76657,9663,4.9,155000,217200,173400
76661,8108,7.2,108800,149850,150750
76664,3494,8.6,18000,25650,25250
76665,2399,5,36000,54750,79900
76667,11261,12.2,75500,157800,161150
76670,1524,4.7,2950,3000,1450
76671,1792,5.1,36000,71650,14100
76673,1620,5.2,249000,257000,135000
76678,362,12.5,29000,34000,38000
76681,676,0.4,3000,4000,6850
76682,2702,2.2,32000,43000,63000
76687,1934,0.3,1000,1000,3000
76689,3715,2.9,2000,15000,20000
76690,984,2.9,28000,57000,71000
76691,6524,2.9,60000,140700,141000
76692,10577,12.9,85250,130200,136300
