Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75081,37.1,5.8,2.8,4.9,41,79.6,8.4,77.9,6.3,74.6,8.1,8.2,8.1,5.4,5.3,11.6,5.8,6.4,6.7,6.4,21.4,18.1,6.1,15,4.1,2,4.8,1.5,1.2,22.1,7.7,37960,313950,447250,541450
75082,41.2,6.3,4.5,6.8,37.2,80,7.5,77.7,5.3,75,5,5,8.5,6.7,8.6,13,6.7,8.7,8,6.8,19.7,16.7,5.7,12.9,4,1.3,3.2,0.9,1,22.3,4.8,23733,51000,97500,99000
75087,37.8,8.7,4.5,6.7,38.1,75.9,7.6,72.8,5.4,69.1,4.6,7,6.9,7.4,6.4,15.7,7,7.2,6.9,4.9,18.7,16.7,3.9,13.9,4.3,3,5.6,1,1.6,27.2,7,33110,273000,466000,566750
75088,41.3,6,4.4,7,36.5,80.1,7.7,77,5.1,73.5,4.3,7.2,6,6.9,7.3,13,6.9,8.9,9.3,7.6,19.4,15.9,6,11.8,3.2,1.2,2.7,0.5,1,23,5.6,25842,448000,538350,587950
75089,36.6,8.6,6.4,10.7,39.9,75.5,8.7,71.7,4.5,67.1,3.9,6.6,7.5,6.8,9.8,15.4,6.8,8,7.8,3.8,12.7,10.3,3.5,8.9,2.4,1.1,3,1.2,0.7,28.3,6.4,33117,95000,152350,164000
75090,31.6,6.6,4.4,8.5,40.8,75.1,12.3,72.4,8.1,66.2,8.4,5.5,4.6,5.6,5.2,14.5,7.9,7.3,6.6,3.9,16.9,15.5,4.2,13,3,2.6,5.8,1.4,1.9,27.6,8.7,23936,197000,354550,456000
75092,40.5,7.6,4.2,6.7,38.4,79.7,8,77.2,5.5,73.6,6.8,6.4,5.1,8,7.4,13.4,5.7,5.9,5.5,7.3,24.1,20.9,5.8,16.8,4.4,2.8,6.5,2.4,1.3,22.8,5.2,24312,130000,249700,169850
75093,43.3,6.6,5.2,8,35.3,81.5,6.4,77.8,3.6,74.6,5,5.8,6.2,6.6,7.8,12.3,5.7,8.7,9.8,6.9,21.4,18.4,5.5,14.5,3.1,2.5,5.9,1.7,1.6,22.2,4.7,48021,282350,464700,523500
75094,37.4,10.7,4.7,7,38.4,71.7,7.2,68.6,4.9,64.5,2.8,5.4,8.1,10.2,8.1,20.1,9.4,7.9,5,5.3,13.8,11.6,3.1,8.6,2.4,1.8,3.1,0.7,0.5,31.4,6.6,23097,44750,131000,202000
75098,34.3,8.9,5.4,7.8,42.5,72.9,7.6,69,5.3,65.5,5.6,6.9,8.8,8.2,8.1,18.2,9.2,6.6,5.7,3.7,11.6,9.8,3.2,7.9,2.1,0.9,2.5,1.1,0.6,31,7.4,54534,438000,521800,618450
