Zip Code,MONTHLY HOUSING COSTS - Median,Owner-occupied housing percentage,Renter-occupied housing percentage,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76034,2326,0.958775695,0.041224305,25557,145000,154000,136000
76035,1030,0.949913644,0.050086356,1466,43000,39000,56000
76036,1238,0.756309238,0.243690762,25736,294500,530250,657900
76039,1143,0.424940651,0.575059349,33750,366050,490550,565050
76040,973,0.470784348,0.529215652,32301,217850,258100,303450
76043,842,0.701610018,0.298389982,7509,291000,234600,431200
76044,829,0.790343915,0.209656085,3799,38300,37950,46350
76048,805,0.671711035,0.328288965,23702,270000,353300,436950
76049,899,0.822626597,0.177373403,27889,370100,564000,704600
76050,940,0.871131405,0.128868595,5747,36000,29000,25000
76051,1364,0.55382515,0.44617485,51685,423250,543100,725900
76052,1624,0.890577965,0.109422035,20779,70000,67000,99000
76053,1016,0.565991012,0.434008988,30567,157050,275150,461650
76054,1292,0.877836351,0.122163649,11948,132000,170750,186050
76055,703,0.758208955,0.241791045,2643,30000,82000,103450
76058,872,0.801369863,0.198630137,18068,132850,175150,208800
76060,1184,0.774392595,0.225607405,7638,60000,81550,96050
76063,1549,0.761126687,0.238873313,69146,448000,877150,1300400
76064,884,0.817531306,0.182468694,1790,13000,33000,26000
76065,1351,0.823381139,0.176618861,34291,344100,502500,750550
76066,688,0.832817337,0.167182663,3193,13400,15000,23000
76067,685,0.639195695,0.360804305,20561,223900,375950,532700
76071,846,0.761519806,0.238480194,4069,6000,2550,10000
76073,843,0.876298862,0.123701138,6155,12000,17000,7000
76078,1140,0.841762333,0.158237667,10366,118200,159000,168750
76082,968,0.813324751,0.186675249,18030,157400,270150,402850
76084,857,0.835274542,0.164725458,8456,71550,107000,102000
76085,1016,0.809896561,0.190103439,10747,17000,34000,44700
76086,993,0.494178039,0.505821961,22311,556400,709050,673650
76087,1194,0.88615322,0.11384678,26889,193800,217200,217600
76088,983,0.835673811,0.164326189,11854,47000,55300,97500
