Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income(all),Median income(full time),Native Hawaiian and Other Pacific Islander percent,Total population,White percent,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75765,0.7,0.3,11.3,51.5,7.2,48.5,25417,43838,0,7751,86.3,12000,18750,33000
75766,0.8,0.4,14.7,50.2,32.1,49.8,26450,34730,0,26671,79,224000,356750,394200
75770,0,0.2,19.6,50.2,3.7,49.8,30760,38925,0,3364,79.7,5400,2000,1000
75771,0.5,1.1,5.6,48.5,5.8,51.5,32950,49097,0,21078,91.3,174000,245000,317750
75773,1.8,0,6.6,51.6,11.9,48.4,26043,38312,0,12927,86.5,60750,86500,143150
75778,1.7,0,0.4,59.4,4.8,40.6,24214,35799,0,3167,97.3,11000,41000,37050
75783,0.4,0,3.4,51,6.5,49,28218,39228,0,7559,93,95200,114900,138700
75785,0.7,1,15.6,42.6,15.1,57.4,26506,30521,0,10909,80.7,90000,138050,136500
75789,0.3,0,10,50.2,9.6,49.8,30451,39887,0,7501,87.7,28000,23700,28950
75790,0,0,1.6,53.8,16.5,46.2,28705,36813,0,4600,92.9,60000,103850,174600
75791,0.2,1.4,3.4,52.6,10.3,47.4,34736,45981,0.3,13268,92.2,86900,128000,146300
75792,1.5,0,17,46.8,16.8,53.2,31155,39419,0,2562,75.4,12000,16200,21650
75801,0.9,1.3,19.7,52,19.4,48,26400,33101,0,15615,70.6,363700,534100,415400
75803,0.3,0.2,21.8,35.9,17.3,64.1,26367,32385,0,22903,73,43000,89550,84500
75831,0.7,1.1,4.9,50.9,22.5,49.1,31118,36111,0,5746,91.4,85000,131800,138350
75833,0.5,0,8.7,49.7,5.7,50.3,33449,40560,0,3462,89.9,55000,58650,68850
75835,0,0.3,31.5,52.4,13.1,47.6,20840,25954,0,10924,59.5,142700,200700,177050
75839,0,0,4.2,51.2,12,48.8,27560,35115,0.3,5192,89.2,42000,46500,116650
75840,0.1,0.8,19.8,53.1,13.2,46.9,30148,40698,0,6950,76.6,86600,127750,181100
75844,0,0.7,11.7,51.4,5.1,48.6,26045,30980,0,6340,83.2,41000,56350,35450
