Zip Code,Scratcher Sales Amount,Income Per Household Amount,Population Count,Price Point,Male Population Count,Female Population Count,Asian Population Count,Black Population Count,Hawaiian Population Count,Hispanic Population Count,Indian Population Count,White Population Count,Other Population Count,Total Population,Male Population Ratio,Female Population Ratio,Asian Population Ratio,Black Population Ratio,Hawaiian Population Ratio,Hispanic Population Ratio,Indian Population Ratio,White Population Ratio,Other Population Ratio,Ticket count,Ticket Per Capita,Sales Per Capita
85024,2435940.00,75070,22898,30,11107,11791,1103,754,86,2565,324,20533,881,26246,0.485064198,0.514935802,0.042025451,0.028728187,0.00327669,0.097729178,0.012344738,0.782328736,0.03356702,81198,3.093728568,92.81185704
85027,9168000.00,53981,37140,20,18850,18290,2585,1482,204,6247,815,30328,3003,44664,0.507539041,0.492460959,0.05787659,0.033181085,0.004567437,0.139866559,0.018247358,0.679025613,0.067235357,458400,10.2632993,205.265986
85027,8373680.00,53981,37140,10,18850,18290,2585,1482,204,6247,815,30328,3003,44664,0.507539041,0.492460959,0.05787659,0.033181085,0.004567437,0.139866559,0.018247358,0.679025613,0.067235357,837368,18.74816407,187.4816407
85027,7135405.00,53981,37140,5,18850,18290,2585,1482,204,6247,815,30328,3003,44664,0.507539041,0.492460959,0.05787659,0.033181085,0.004567437,0.139866559,0.018247358,0.679025613,0.067235357,1427081,31.95148218,159.7574109
85027,2696010.00,53981,37140,30,18850,18290,2585,1482,204,6247,815,30328,3003,44664,0.507539041,0.492460959,0.05787659,0.033181085,0.004567437,0.139866559,0.018247358,0.679025613,0.067235357,89867,2.012067885,60.36203654
85028,3512400.00,88576,19157,20,9283,9874,561,345,35,1462,209,18006,434,21052,0.484574829,0.515425171,0.026648299,0.016387992,0.00166255,0.069447083,0.009927798,0.855310659,0.020615618,175620,8.342200266,166.8440053
85028,2916220.00,88576,19157,10,9283,9874,561,345,35,1462,209,18006,434,21052,0.484574829,0.515425171,0.026648299,0.016387992,0.00166255,0.069447083,0.009927798,0.855310659,0.020615618,291622,13.85246057,138.5246057
85028,1812565.00,88576,19157,5,9283,9874,561,345,35,1462,209,18006,434,21052,0.484574829,0.515425171,0.026648299,0.016387992,0.00166255,0.069447083,0.009927798,0.855310659,0.020615618,362513,17.2198841,86.09942048
85028,918990.00,88576,19157,30,9283,9874,561,345,35,1462,209,18006,434,21052,0.484574829,0.515425171,0.026648299,0.016387992,0.00166255,0.069447083,0.009927798,0.855310659,0.020615618,30633,1.455111153,43.6533346
85029,8255540.00,42853,43233,20,21328,21905,1390,2676,164,13438,1468,32503,6753,58392,0.493326857,0.506673143,0.023804631,0.045828196,0.002808604,0.230134265,0.02514043,0.55663447,0.115649404,412777,7.069067681,141.3813536
85029,8179840.00,42853,43233,10,21328,21905,1390,2676,164,13438,1468,32503,6753,58392,0.493326857,0.506673143,0.023804631,0.045828196,0.002808604,0.230134265,0.02514043,0.55663447,0.115649404,817984,14.00849431,140.0849431
85029,6684100.00,42853,43233,5,21328,21905,1390,2676,164,13438,1468,32503,6753,58392,0.493326857,0.506673143,0.023804631,0.045828196,0.002808604,0.230134265,0.02514043,0.55663447,0.115649404,1336820,22.89388957,114.4694479
85029,2099610.00,42853,43233,30,21328,21905,1390,2676,164,13438,1468,32503,6753,58392,0.493326857,0.506673143,0.023804631,0.045828196,0.002808604,0.230134265,0.02514043,0.55663447,0.115649404,69987,1.198571722,35.95715166
85031,5631560.00,30213,30493,5,15278,15215,415,1870,98,24308,742,15466,13127,56026,0.501033024,0.498966976,0.007407275,0.033377361,0.001749188,0.433869989,0.013243851,0.276050405,0.234301931,1126312,20.10338057,100.5169029
85031,4122280.00,30213,30493,10,15278,15215,415,1870,98,24308,742,15466,13127,56026,0.501033024,0.498966976,0.007407275,0.033377361,0.001749188,0.433869989,0.013243851,0.276050405,0.234301931,412228,7.357798165,73.57798165
