Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75939,0.3,28.5,78.7,4939,26850,33300,49200
75941,0.2,38.4,75.5,8974,52000,52800,48050
75944,0,2,95.5,1409,37000,54200,37000
75946,2.3,10.5,67.7,3209,28000,17000,14750
75948,0.2,5.8,90.4,6037,145000,151450,104650
75949,0,3.3,93.7,7376,75000,70250,58600
75951,1,9.2,62,16072,203550,311700,362250
75954,0,6.4,91,3079,40000,43000,62100
75956,0.2,7.4,88.5,8533,29000,97350,172200
75961,0.9,14.9,68.7,15484,228400,377550,351350
75964,1.7,36.8,76.8,19086,95000,160500,251200
75965,2.9,9.4,79,18811,135000,246400,285400
75966,0.2,3,64.8,5287,97000,135600,106800
75968,0,3.8,84,1883,5000,5000,5000
75969,0,3.1,90.6,3726,26000,38000,35000
75972,0,8.2,62.7,6040,58850,134850,165900
75974,0,23.1,73.9,3245,13000,21800,45250
75975,0.2,7.8,73.1,3727,17000,29000,33400
75976,0,10.8,79.9,806,19000,22000,15000
75979,0.5,10.1,77.8,12384,73000,122000,111750
75980,0,5.5,85.8,2500,44000,29000,49000
76001,5,19.1,64,31829,39000,43700,78750
76002,9.5,24.3,41.7,36569,141000,263800,289750
76006,5.3,20.2,61,23259,181000,247950,321300
76008,0.4,8.3,92.8,16334,44000,56400,45850
76009,0.9,30.6,89.8,21049,154700,323950,415200
76010,5.9,61.6,72.5,57813,321400,504300,574700
76011,2.4,36.4,61.4,22953,188700,296050,367100
76012,3.2,21.3,77.3,26571,185000,302200,399600
76013,5.9,15.2,74.5,33169,192400,310250,369300
76014,10.2,40.6,52.2,35235,191250,338550,444000
76015,4.8,24.7,69.9,16464,250200,432650,587900
76016,6.9,11.8,81.9,30808,265000,384850,407250
76017,6.8,15.6,64.8,47010,477150,667050,867700
76018,13.5,29,37.5,31416,320800,558350,567100
76020,0.4,8,95.7,27714,238000,430850,437100
76021,5,12.7,77.2,35903,648750,517150,494550
76022,2.4,13.6,80.6,13059,50650,100150,112750
76023,0.6,8.9,95.8,5930,67000,102000,94600
76028,1.1,12.2,92.8,67388,548300,1050300,1203400
76031,0.3,27.9,91.7,18050,209750,267300,324000
76033,0.9,22.5,92.8,25190,353400,553950,769200
76034,6.8,4.4,88.1,25557,145000,154000,136000
76035,1.9,16,92.6,1466,43000,39000,56000
76036,1.1,22,78.4,25736,294500,530250,657900
76039,12.9,20.3,68.5,33750,366050,490550,565050
76040,9.8,20.8,59.3,32301,217850,258100,303450
76043,0,20.3,93.9,7509,291000,234600,431200
76044,0,13.5,97.7,3799,38300,37950,46350
76048,0,15.4,93.7,23702,270000,353300,436950
76049,1.6,11.6,95.6,27889,370100,564000,704600
76050,0.4,13.2,95,5747,36000,29000,25000
76051,7.3,21.4,79.2,51685,423250,543100,725900
76052,1.8,13,85,20779,70000,67000,99000
76053,4.4,27.3,75.8,30567,157050,275150,461650
76054,1.6,10.5,92.6,11948,132000,170750,186050
76055,0,22.7,88.3,2643,30000,82000,103450
76058,0.4,17.3,90.3,18068,132850,175150,208800
76060,5.7,20.5,80.8,7638,60000,81550,96050
76063,4.3,16.9,71.4,69146,448000,877150,1300400
76064,2.7,6.6,91.4,1790,13000,33000,26000
76065,1.1,11.9,90.4,34291,344100,502500,750550
76066,0,3.7,98.2,3193,13400,15000,23000
76067,0.8,23.8,89.8,20561,223900,375950,532700
76071,0,21.3,92.1,4069,6000,2550,10000
76073,0.1,14.5,96.7,6155,12000,17000,7000
76078,0.7,24.2,92.1,10366,118200,159000,168750
76082,0.2,10.1,95.8,18030,157400,270150,402850
76084,1.1,30.8,86,8456,71550,107000,102000
76085,0.1,13,95.2,10747,17000,34000,44700
