,Zip1,Similiarity1,Prediction1,Zip2,Similiarity2,Prediction2,Zip3,Similiarity3,Prediction3,Zip4,Similiarity4,Prediction4,Zip5,Similiarity5,Prediction5,Zip6,Similiarity6,Prediction6
85119,75236,0.9645567196072752,129476.32402114119,79764.0,0.9999816193829425,763406.0167382945,76048.0,0.9999999967683219,325321.5973335583,75020,0.9999999961443163,230104.15239139373,78624,0.9999994647455087,366064.6354959192,75672,0.9999999999997775,68354.20255968497
85120,77014,0.9807155418778567,70276.86193288365,76513.0,0.9999978697002756,636652.3882593642,75042.0,0.9999999999286638,462925.98523724056,75119,0.9999999981019116,867468.8685759977,76049,0.999999894227988,619249.309763706,75501,0.9999999999999771,220829.46878852404
85121,78072,0.9861891773856023,355254.5792079208,77363.0,0.9999670059828007,54358.22550831793,75147.0,0.9999999460386789,29927.642517814726,78357,0.9999999599251438,49213.51304945054,78147,0.9999647907398312,84212.05936920222,79788,0.9999999937667623,499808.1023454158
85122,78744,0.9886642833560227,723137.3017839445,75149.0,0.9999959367139423,712540.9538147212,75227.0,0.9999999999927621,163909.51458326125,77521,0.9999999988961309,1245454.6608315099,75216,0.9999999842168619,327602.3140183382,77354,0.9999999999999828,754528.6764705882
85123,79512,0.981771582128284,186949.36132540787,78751.0,0.9999710071470447,130977.8446718844,78648.0,0.9999999994837279,206696.1879091259,78834,0.9999999969270847,150396.42114984992,76667,0.9999996362544459,155627.9904093775,76634,0.9999999999992614,432109.5076400679
85128,75219,0.9841668054015831,124289.04927610946,76306.0,0.9999882477081954,155783.0386118286,76135.0,0.9999999960047181,192005.50639547073,77575,0.9999999983414268,252485.12202293443,77575,0.9999998802079508,252485.12202293443,75852,0.9999999999999719,6735.9378195950085
85131,78414,0.9680921733661734,199671.17335628407,78006.0,0.9999768331750033,467628.66693998553,78382.0,0.9999999999442637,478508.780238659,76009,0.9999999998150935,285366.5684830633,75235,0.9999997176924812,160863.73842715763,75758,0.9999999999997855,569536.987654321
85132,77090,0.9746154753427988,215814.18237272228,77340.0,0.9994663204182539,426632.4866220736,75115.0,0.9999999998929706,327057.898505069,77053,0.9999999999234805,249374.03508221413,77320,0.9999999504027496,220293.22259601907,75252,1.0,309192.58672102063
85135,78072,0.9770736837802297,77352.47524752477,77660.0,0.9999745015524982,11011.167512690356,79742.0,0.9999909666791865,26299.595141700403,79788,0.9999266360211463,108827.2921108742,78340,0.999104563923581,26773.101952277655,76364,0.99999946579129,35692.30769230769
85137,78072,0.9842049307686642,416269.6782178218,78019.0,0.9999664404760131,73250.8637873754,77455.0,0.9999998549617064,46834.15597235933,79096,0.9999998635925434,40292.24562976244,79079,0.9999876473083332,63906.899109792284,76640,0.9999999999917283,11527.34375
85138,75208,0.9828115860098338,191266.49687584897,78626.0,0.9999955548844146,315872.3615850472,75024.0,0.9999999998233647,142008.08866878905,77365,0.9999999999324243,410121.46723556006,76522,0.999999973850888,586164.5211995298,78840,1.0,315311.95024525526
85139,75219,0.9792509393320934,138336.2933367702,77707.0,0.9999828429111449,737714.3199287066,76309.0,0.9999999998573071,92067.0067238581,75215,0.9999999987897678,250264.63866189992,77011,0.9999999499328217,93862.06850198946,79766,0.9999999999993588,556641.5094339623
85140,77090,0.987179276072627,275258.80972863064,79905.0,0.9999624391164244,88810.38601350182,77301.0,0.9999999998255433,581803.2892047421,77539,0.999999998289631,745352.6791372309,77093,0.9999999919403422,532849.9144683533,76131,0.9999999999999701,446472.2509770783
85141,78072,0.9737702257789284,71184.28217821782,78567.0,0.9999553007684457,6556.621880998081,76238.0,0.999993963096324,20282.5,79788,0.9999628239184736,100149.25373134328,76238,0.9975507894641972,20282.5,75550,0.9999994570320141,2038.1861575178996
85142,77090,0.990863657778926,364797.7711738484,76903.0,0.9999885347009208,1233997.1778338475,77090.0,0.9999999996455319,364797.7711738484,78251,0.9999999993654572,1446799.9043094905,77346,0.9999999915452014,684478.2977242896,78414,0.9999999999997818,649410.5156091073
85143,77014,0.9850620915872329,84375.38134288673,75154.0,0.9999979457850069,595170.0882535736,78759.0,0.999999999941638,249020.37899968933,75901,0.9999999998014586,959788.1884538819,78237,0.9999999676942365,550558.2489068998,77014,0.9999999999999871,84375.38134288673
85145,78072,0.9946922483012884,502791.08910891094,75424.0,0.9999608216771192,12816.99867197875,76554.0,0.9999999908921429,64675.71115973742,79084,0.9999995444663489,98677.85234899328,79013,0.9999474902024129,61019.69247369841,75109,0.9999999999750877,66969.04296875
85147,77951,0.99432399751913,22210.781932977174,78947.0,0.9999458733765552,25654.940282301846,76567.0,0.9999999917912521,34411.260716641016,78140,0.9999998173759472,75485.54603854391,78118,0.9999870525261431,151719.64008285862,79520,0.999999998264764,113179.3150067598
85172,78072,0.9981860533000316,272734.1584158416,77534.0,0.9999641986004411,22928.276999175596,75936.0,0.9999992651954119,3885.985748218527,78055,0.9999999364382756,10093.573264781491,79744,0.9998466365602312,82692.76944065484,78377,0.9999999999974238,52942.17506631299
85173,78072,0.9913227999918605,491288.2425742575,76511.0,0.999996607179396,33691.73928197978,79329.0,0.9999999735896316,13745.335820895523,76651,0.9999998400823643,110740.45482673266,76648,0.9999928803018584,45880.15930485156,75554,0.9999999999467412,21224.930747922437
85192,78072,0.9427154462558992,279235.7673267327,77650.0,0.9999528467236489,37898.04469273743,77968.0,0.9999999210356142,8199.492468893255,78558,0.999999207311203,21441.793041926852,76945,0.9999383436679017,29493.017607771704,79788,0.9999999994181762,392857.14285714284
85193,79906,0.980262020037714,7740.878048780488,78025.0,0.9999860145139625,126353.57063895644,78255.0,0.9999999934632201,25523.67822430551,78390,0.9999999368582981,45801.80873580912,76272,0.9999956158174853,63178.571428571435,78384,0.9999999998151504,64614.16149068323
85194,79906,0.9823264872957683,12622.829268292682,75140.0,0.9999708139675633,92830.8056872038,75692.0,0.9999999900421811,86346.59314690823,76634,0.9999999421248958,279668.9303904924,76634,0.9999974665222662,279668.9303904924,78559,0.999999999998025,26857.142857142855
85201,78744,0.9903268989446848,665579.6931780641,78043.0,0.9999671957645827,287666.424645905,77642.0,0.9999999969077873,464478.8106577423,77373,0.999999999925729,315767.4877692902,77099,0.9999999877942806,277279.10124265484,75254,0.9999999999999907,382754.69889481994
85202,77090,0.9931957634288952,234584.5780871197,76014.0,0.9999870185921349,372611.57939548744,78247.0,0.9999999999391628,1058136.3335539377,77065,0.999999999817908,651577.923750644,77705,0.9999999671035402,793669.9086209853,78737,0.9999999999998974,588574.8472825744
85203,77090,0.9861098204560758,228493.1219207007,79905.0,0.9999392259155248,73721.75437078068,77375.0,0.9999999995136037,608591.9970311726,78412,0.9999999999290451,595978.0596141119,79423,0.9999999953021484,631573.3166491044,77080,0.9999999999999559,340052.12526004604
85204,77081,0.9916747743437742,466855.79404390627,78228.0,0.9999899422687915,914387.5615269917,77093.0,0.9999999966164238,783290.7794634014,75061,0.9999999997960435,659931.424044293,77346,0.9999999890133717,759218.6152799962,78041,0.9999999999999956,1061819.9170791283
85205,77090,0.9856321148481895,252163.2986627043,75080.0,0.9999738880781427,544854.031086433,77479.0,0.9999999933488986,174148.42499689627,79925,0.9999999998638449,421984.24534279556,78028,0.9999999633206359,1135724.1609044566,77904,0.9999999999999971,1042301.200580341
85206,77014,0.9833432768195809,83491.78538442162,77009.0,0.9999778700890224,230940.30224364917,76051.0,0.9999999995476152,382266.3229176744,77365,0.9999999992488972,413761.02655543527,78028,0.9999999132463709,991136.3347297229,76126,0.9999999999999963,706711.6904706158
85207,77090,0.9845238989044939,292807.2847423164,77459.0,0.9999373338177158,504311.70759350207,75901.0,0.999999999411526,1263696.7485069674,75104,0.9999999999361423,488455.16595289076,75093,0.9999999873067729,468415.9742612607,79924,0.9999999999999997,410273.1342406901
85208,77090,0.9861947454836933,224772.91780714787,77066.0,0.9999825821756386,172398.3429991715,77535.0,0.9999999997400926,523649.54412837344,79701,0.9999999995897234,3062508.7429643525,78028,0.9999999479426327,1012359.9858678645,78737,0.999999999999931,563957.3020971094
85209,77014,0.9868589900660397,94216.57477119427,76180.0,0.9999902618060927,590140.1291741102,78801.0,0.999999998677958,956910.335800686,78028,0.9999999994344239,1118450.9968202694,78209,0.999999934319899,582549.7019915686,75204,0.9999999999999994,154097.06947645702
85210,77090,0.9933901004377858,240222.3508250567,78640.0,0.9999954521698398,531881.9048338083,77035.0,0.9999999997042114,474328.56695543265,76112,0.9999999999690887,235744.4894807952,77074,0.9999999878636615,241515.42026806963,79934,0.999999999999994,52240.501431556135
85212,78414,0.9824184680010106,339145.935372819,75134.0,0.9999883486044037,135059.76657920927,76450.0,0.9999999978520515,523066.82188591384,76401,0.9999999988322227,505401.88276002445,77530,0.999999983767221,368740.6054179119,76016,0.9999999999998016,393419.43326408725
85213,77014,0.9739734919317945,80666.57337177084,78503.0,0.9998971850316237,400613.76054552605,77038.0,0.9999999995669864,233914.853358562,78626,0.9999999987561689,307892.11472839623,75904,0.9999999671775178,504667.9124778238,77521,0.9999999999999819,777562.9759299782
85215,79512,0.9844493784804881,273875.93271784496,77372.0,0.9999963963354486,128041.77799368472,78119.0,0.9999999982151785,746005.7838053451,78721,0.9999999992851046,88885.67526311561,75156,0.9999986171332805,69344.1475826972,78237,0.9999999999999996,243650.92780206888
85224,77014,0.9894898360848531,100982.3952531557,76108.0,0.999988935656565,601550.050702593,75232.0,0.9999999994757506,532343.5566842481,78216,0.9999999992006318,1252341.5038253497,78213,0.9999999817071501,474231.4605705858,77040,0.9999999999999952,383004.9924388374
85225,75227,0.9911323561665287,205511.40193059543,78130.0,0.9999728948942608,1557589.2363143244,75227.0,0.9999999954173384,205511.40193059543,75243,0.9999999993593185,291788.2066869301,77095,0.9999999891251099,696704.0017480334,77583,0.9999999999999994,214411.91089837995
85226,78414,0.9899808161699659,406848.05309965316,75206.0,0.9999966252979035,414585.1181569578,77011.0,0.9999999996377869,193496.08828906334,78232,0.999999999150163,592965.3190203395,77009,0.9999999839511858,239840.44528621758,75204,0.9999999999999969,141818.7026671057
85233,78414,0.9858070013668983,382887.9430404507,76021.0,0.999971755796661,512151.78118820157,77504.0,0.9999999993080471,467789.96013203583,76021,0.9999999991074968,512151.78118820157,77041,0.9999999929975344,327645.54449847335,75234,0.9999999999999998,648297.7446377613
