Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income (full time),Median income(all),Native Hawaiian and Other Pacific Islander percent,Total population,White percent
85623,0.3,0,0,49.4,31,50.6,35800,24195,0,4980,91.2
85624,0,0.3,0,46.2,30.2,53.8,39318,18750,0,1390,89.9
85625,6,0,0,52.6,28.2,47.4,36635,21902,0,2053,85.4
85626,1.7,0,0,46.2,92.3,53.8,37471,13400,0,1172,64.2
85627,0,0,0,49.3,9.7,50.7,31310,26053,0,1187,99.6
85629,0.2,2.4,3.4,53.2,37.8,46.8,49075,40333,0.1,25500,87.6
85630,0,0,0,47.2,12,52.8,40469,23564,0,2418,99.6
85631,0,0,0,54.2,56,45.8,36165,28370,0,3719,93.7
85632,1.7,0.5,1.3,52.7,23.5,47.3,40938,21100,0,759,91.4
85634,95.2,0.6,0.3,54.1,2,45.9,35379,26699,0,6409,3.3
85635,1.3,3.5,6.8,53.5,29.1,46.5,44983,32068,0.8,33574,76.9
85637,0.5,0.8,0.2,54.2,10.1,45.8,49712,35820,0,1313,98.5
85638,0.6,0,0,51.6,22.7,48.4,36050,20703,0,1991,92
85641,0.5,1.5,2.9,48.5,20.2,51.5,58510,44149,0.1,25657,88.5
85643,0.9,0.3,1.3,47.3,53.6,52.7,35685,24424,0.3,8239,87.4
85645,0,0.2,0,58.1,56.6,41.9,33750,20319,0,2235,82.5
85648,0.3,0.6,0.2,52.5,88.3,47.5,37438,27549,0,18992,84.8
85650,0.2,3.4,2.4,52.7,19.6,47.3,53788,38308,0,15136,88
85653,2,1.6,1,47.7,27.7,52.3,45105,32410,0,16405,79.4
85658,0.6,3.2,3.9,50.5,12.6,49.5,65028,46250,0,10683,86.8
85701,5.2,3.9,4.7,48.8,34.8,51.2,42328,32219,0,5286,78.6
85704,0.9,3.9,1.7,52.7,21.5,47.3,48834,32475,0.1,31795,85.7
85705,5.6,3.9,3.3,49.8,46.5,50.2,30471,19016,0.1,55463,67.5
85706,4.4,0.9,2.2,51.7,83.6,48.3,28784,20725,0.1,55691,71.9
85708,2,8.9,11.3,50.7,17.7,49.3,44319,33083,0,4187,66.8
85710,1.1,3.3,5,52.1,26.7,47.9,36326,26350,0.2,56168,80.1
85711,2.9,3.4,5.8,52,37.3,48,34159,23077,0.2,39451,71.4
85712,1.4,3.2,7.1,52.8,23.8,47.2,34723,24463,0.7,33239,79.3
85713,6.6,0.7,5.5,49.8,68.4,50.2,30436,20251,0,46071,63
85714,8.4,0,4.3,52.8,82.1,47.2,29129,18534,0,14683,63.7
85715,0.6,2.3,3.1,52.7,16.9,47.3,50463,32662,0.1,17066,89.7
85716,2.1,4.8,5.5,50.9,26.8,49.1,40325,25229,0.2,31134,79.1
85718,1.4,6.1,1.6,51.5,13.8,48.5,76990,50327,0.4,26262,85.3
85719,1.5,6.3,4.4,46.2,25.1,53.8,34833,12441,0.4,47503,77.6
85730,1.4,2.8,6.3,51.7,27.5,48.3,38070,27008,0.1,39055,72.2
85735,2.3,0.9,3.7,51.3,38.8,48.7,37325,26127,0,11108,73.2
85736,2.2,0.8,1.8,50.8,40.2,49.2,38714,18860,0,4998,80.7
85737,0.5,3.9,0.9,52.1,15.7,47.9,61487,39563,0.1,21293,88.4
85739,0.5,0.4,0.5,51.3,12.7,48.7,50150,31337,0.2,18474,93.1
85741,1.1,1.8,2.7,52.4,30,47.6,43064,31711,0,35149,79.8
85742,0.9,2.7,1.3,51.4,26.6,48.6,50138,36255,0.8,26868,84.7
85743,0.9,3.7,1.4,51.3,25.9,48.7,53444,38987,0.2,29552,85.2
85745,3.9,3.4,3.6,51.4,52.5,48.6,43248,26644,0.1,38005,73.9
85746,6.7,0.7,1.7,52.5,74,47.5,34727,24446,0,43873,61.3
85747,0.4,2.6,4.3,51.2,23,48.8,53621,40191,0.2,25077,82.7
85748,0.8,4,3.2,52.7,18.6,47.3,46836,35236,0,17727,84.2
85749,1.3,2.4,1.5,49.8,8.8,50.2,65132,42920,0.1,19121,90.7
