,Zip1,Similiarity1,Prediction1,Zip2,Similiarity2,Prediction2,Zip3,Similiarity3,Prediction3,Zip4,Similiarity4,Prediction4,Zip5,Similiarity5,Prediction5,Zip6,Similiarity6,Prediction6, MIN , MAX , Weight Avg , AVG , Median , STD , Upper Bound , Lower Bound , P1 , P2 , P3 , P4 , P5 , P6 , AVG , Flag ,,
85132,77090,0.974615475,215814.1824,77340,0.99946632,426632.4866,75115,1,327057.8985,77053,1,249374.0351,77320,0.99999995,220293.2226,75252,1,309192.5867," 215,814.18 "," 426,632.49 "," 291,703.14 ",291394.0686,279283.3109,73497.68527,511887.1245,70901.01284,215814.1824,426632.4866,327057.8985,249374.0351,220293.2226,309192.5867,291394.0686,1,,
85135,78072,0.977073684,77352.47525,77660,0.999974502,11011.16751,79742,0.999990967,26299.59514,79788,0.999926636,108827.2921,78340,0.999104564,26773.10195,76364,0.999999466,35692.30769," 11,011.17 "," 108,827.29 "," 47,547.98 ",47659.32328,31232.70482,34161.3151,150143.2686,0,77352.47525,11011.16751,26299.59514,108827.2921,26773.10195,35692.30769,47659.32328,1,,
85137,78072,0.984204931,416269.6782,78019,0.99996644,73250.86379,77455,0.999999855,46834.15597,79096,0.999999864,40292.24563,79079,0.999987647,63906.89911,76640,1,11527.34375," 11,527.34 "," 416,269.68 "," 107,868.62 ",108680.1977,55370.52754,138931.4558,525474.565,0,416269.6782,73250.86379,46834.15597,40292.24563,63906.89911,11527.34375,108680.1977,1,,
85138,75208,0.982811586,191266.4969,78626,0.999995555,315872.3616,75024,1,142008.0887,77365,1,410121.4672,76522,0.999999974,586164.5212,78840,1,315311.9502," 142,008.09 "," 586,164.52 "," 327,180.18 ",326790.8143,315592.1559,145476.9116,763221.549,0,191266.4969,315872.3616,142008.0887,410121.4672,586164.5212,315311.9502,326790.8143,1,,
85139,75219,0.979250939,138336.2933,77707,0.999982843,737714.3199,76309,1,92067.00672,75215,0.999999999,250264.6387,77011,0.99999995,93862.0685,79766,1,556641.5094," 92,067.01 "," 737,714.32 "," 312,080.60 ",311480.9728,194300.466,248664.9521,1057475.829,0,138336.2933,737714.3199,92067.00672,250264.6387,93862.0685,556641.5094,311480.9728,1,,
85140,77090,0.987179276,275258.8097,79905,0.999962439,88810.38601,77301,1,581803.2892,77539,0.999999998,745352.6791,77093,0.999999992,532849.9145,76131,1,446472.251," 88,810.39 "," 745,352.68 "," 445,457.13 ",445091.2216,489661.0827,213045.265,1084227.017,0,275258.8097,88810.38601,581803.2892,745352.6791,532849.9145,446472.251,445091.2216,1,,
85141,78072,0.973770226,71184.28218,78567,0.999955301,6556.621881,76238,0.999993963,20282.5,79788,0.999962824,100149.2537,76238,0.997550789,20282.5,75550,0.999999457,2038.186158," 2,038.19 "," 100,149.25 "," 36,604.23 ",36748.89066,20282.5,36203.34324,145358.9204,0,71184.28218,6556.621881,20282.5,100149.2537,20282.5,2038.186158,36748.89066,1,,
85142,77090,0.990863658,364797.7712,76903,0.999988535,1233997.178,77090,1,364797.7712,78251,0.999999999,1446799.904,77346,0.999999992,684478.2977,78414,1,649410.5156," 364,797.77 "," 1,446,799.90 "," 791,362.27 ",790713.573,666944.4067,412514.7789,2028257.91,0,364797.7712,1233997.178,364797.7712,1446799.904,684478.2977,649410.5156,790713.573,1,,
85143,77014,0.985062092,84375.38134,75154,0.999997946,595170.0883,78759,1,249020.379,75901,1,959788.1885,78237,0.999999968,550558.2489,77014,1,84375.38134," 84,375.38 "," 959,788.19 "," 421,386.93 ",420547.9445,399789.314,314542.3403,1364174.966,0,84375.38134,595170.0883,249020.379,959788.1885,550558.2489,84375.38134,420547.9445,1,,
85145,78072,0.994692248,502791.0891,75424,0.999960822,12816.99867,76554,0.999999991,64675.71116,79084,0.999999544,98677.85235,79013,0.99994749,61019.69247,75109,1,66969.04297," 12,817.00 "," 502,791.09 "," 134,167.07 ",134491.7311,65822.37706,166615.0864,634336.9902,0,502791.0891,12816.99867,64675.71116,98677.85235,61019.69247,66969.04297,134491.7311,1,,
85147,77951,0.994323998,22210.78193,78947,0.999945873,25654.94028,76567,0.999999992,34411.26072,78140,0.999999817,75485.54604,78118,0.999987053,151719.6401,79520,0.999999998,113179.315," 22,210.78 "," 151,719.64 "," 70,489.48 ",70443.58068,54948.40338,48456.70834,215813.7057,0,22210.78193,25654.94028,34411.26072,75485.54604,151719.6401,113179.315,70443.58068,1,,
85172,78072,0.998186053,272734.1584,77534,0.999964199,22928.277,75936,0.999999265,3885.985748,78055,0.999999936,10093.57326,79744,0.999846637,82692.76944,78377,1,52942.17507," 3,885.99 "," 272,734.16 "," 74,152.88 ",74212.82316,37935.22603,92756.23739,352481.5353,0,272734.1584,22928.277,3885.985748,10093.57326,82692.76944,52942.17507,74212.82316,1,,
85173,78072,0.9913228,491288.2426,76511,0.999996607,33691.73928,79329,0.999999974,13745.33582,76651,0.99999984,110740.4548,76648,0.99999288,45880.1593,75554,1,21224.93075," 13,745.34 "," 491,288.24 "," 118,890.05 ",119428.4771,39785.94929,169276.9787,627259.4131,0,491288.2426,33691.73928,13745.33582,110740.4548,45880.1593,21224.93075,119428.4771,1,,
85192,78072,0.942715446,279235.7673,77650,0.999952847,37898.04469,77968,0.999999921,8199.492469,78558,0.999999207,21441.79304,76945,0.999938344,29493.01761,79788,0.999999999,392857.1429," 8,199.49 "," 392,857.14 "," 126,733.25 ",128187.543,33695.53115,150858.7382,580763.7577,0,279235.7673,37898.04469,8199.492469,21441.79304,29493.01761,392857.1429,128187.543,1,,
85193,79906,0.98026202,7740.878049,78025,0.999986015,126353.5706,78255,0.999999993,25523.67822,78390,0.999999937,45801.80874,76272,0.999995616,63178.57143,78384,1,64614.16149," 7,740.88 "," 126,353.57 "," 55,693.02 ",55535.44476,54490.19008,37496.26169,168024.2298,0,7740.878049,126353.5706,25523.67822,45801.80874,63178.57143,64614.16149,55535.44476,1,,
