Zip Code,Percent bachelor's degree or higher,Percent high school graduate or higher,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76066,18.1,86.4,3193,13400,15000,23000
76067,13.5,82,20561,223900,375950,532700
76071,15,75.3,4069,6000,2550,10000
76073,14.1,85.2,6155,12000,17000,7000
76078,19.3,88,10366,118200,159000,168750
76082,15.1,85.9,18030,157400,270150,402850
76084,12.2,77.1,8456,71550,107000,102000
76085,19.8,89,10747,17000,34000,44700
76086,17.9,86.8,22311,556400,709050,673650
76087,37.9,91.6,26889,193800,217200,217600
76088,20.4,89,11854,47000,55300,97500
76092,68.8,99.3,30138,248600,299450,278950
76093,10.2,81.8,1680,63950,31000,28000
76102,41.3,84,9803,93000,93000,149000
76103,16.5,71.1,13689,46000,62650,147800
76104,11.6,66.1,18199,64550,57000,84600
76105,4.4,54.5,21661,46950,98850,91100
76106,2.9,49.7,39218,271200,476200,636800
76107,49.3,88.4,30110,182500,310200,360000
76108,23.5,85.9,41418,426500,566350,566250
76109,68.8,96.6,22448,84000,108000,216250
76110,27.2,64.9,31118,223000,276500,293300
76111,10,56.8,22456,200350,284000,332700
76112,19.3,79.9,41448,233500,246050,410050
76114,13.4,74,25647,176400,323000,416450
76115,9.7,49.9,20485,170400,247250,231450
76116,31.7,85.8,49789,365000,553650,654150
76117,9.7,72.4,31298,167950,256000,246650
76118,28.3,88.4,16318,64850,113350,103300
76119,7.2,63.2,48380,169450,227750,331300
76120,21.5,89.9,19041,89100,99400,109000
76123,34.9,93.7,32131,21000,43150,64000
76126,39.4,94.8,21355,271350,414850,439800
76131,28,88.9,37868,232500,371550,468500
76132,47.5,95.6,26405,102300,177600,232650
76133,25.8,86.1,51022,338150,543850,606650
76134,13.1,79.3,26581,200000,331150,282950
76135,22,82.7,23845,210650,278050,351150
76137,32.9,90.7,60065,365000,522500,660850
76140,14.6,79.7,30643,411150,403700,401600
76148,17.7,87.3,23819,345900,381050,516200
76155,47.1,95.5,5289,29000,28950,24000
76164,4.8,42.1,16091,101850,149500,272300
76177,46,98.9,7907,93000,122000,144400
76179,32.2,91.5,57204,281100,441600,676550
76180,30.2,90.2,36385,406450,523050,561000
76182,36,93.7,31227,52000,119250,213500
76201,43.5,88.9,28038,167650,228800,286300
76205,38.3,88.4,20992,208000,265950,332050
76207,37.3,90,14221,139050,182250,222750
76208,37.7,87.9,23463,44000,68000,65000
76209,34.5,85.4,24667,72000,96550,99000
76210,36.8,92.4,44044,94000,124000,168200
76225,15.2,92.6,3313,44000,54000,47000
76226,57.4,96.6,25037,85000,134450,101500
76227,35.1,94.2,29616,239600,329450,441400
76228,20.7,87.7,1027,11000,26750,10000
76230,15.7,84.3,9538,188500,241000,170900
76233,27.5,90.1,3490,30000,46000,40000
76234,20.6,87.7,15341,153550,246600,261700
76238,13.7,96.2,400,46000,19000,11000
76240,21.3,84.8,27123,169100,373750,495350
